iter	Passed	Remaining
1421	118177	299267
1422	118260	299182
1423	118345	299105
1424	118429	299024
1425	118515	298947
1426	118599	298866
1427	118674	298763
1428	118745	298649
1429	118825	298558
1430	118906	298469
1431	118988	298384
1432	119071	298302
1433	119155	298221
1434	119240	298141
1435	119321	298055
1436	119409	297982
1437	119493	297901
1438	119576	297819
1439	119657	297730
1440	119733	297629
1441	119807	297523
1442	119885	297428
1443	119965	297338
1444	120041	297238
1445	120116	297134
1446	120187	297020
1447	120268	296933
1448	120350	296847
1449	120434	296766
1450	120517	296684
1451	120599	296598
1452	120682	296516
1453	120766	296433
1454	120849	296350
1455	120930	296264
1456	121013	296180
1457	121097	296100
1458	121179	296013
1459	121263	295932
1460	121347	295851
1461	121431	295770
1462	121513	295686
1463	121597	295604
1464	121681	295524
1465	121766	295445
1466	121850	295365
1467	121934	295283
1468	122017	295201
1469	122100	295116
1470	122181	295029
1471	122264	294945
1472	122347	294863
1473	122430	294779
1474	122513	294695
1475	122597	294616
1476	122681	294536
1477	122764	294451
1478	122846	294365
1479	122928	294280
1480	123011	294196
1481	123092	294110
1482	123176	294028
1483	123259	293945
1484	123342	293862
1485	123423	293774
1486	123511	293704
1487	123588	293606
1488	123665	293507
1489	123740	293405
1490	123811	293295
1491	123885	293189
1492	123969	293108
1493	124050	293022
1494	124133	292937
1495	124217	292857
1496	124300	292775
1497	124384	292694
1498	124468	292614
1499	124554	292536
1500	124639	292459
1501	124726	292385
1502	124810	292304
1503	124892	292219
1504	124976	292137
1505	125057	292049
1506	125138	291962
1507	125220	291875
1508	125301	291789
1509	125382	291701
1510	125463	291612
1511	125548	291535
1512	125628	291444
1513	125698	291331
1514	125774	291231
1515	125857	291149
1516	125941	291069
1517	126025	290988
1518	126107	290903
1519	126190	290818
1520	126273	290736
1521	126354	290649
1522	126439	290569
1523	126513	290466
1524	126587	290363
1525	126664	290266
1526	126741	290168
1527	126818	290072
1528	126896	289977
1529	126971	289875
1530	127049	289782
1531	127121	289673
1532	127196	289572
1533	127278	289488
1534	127361	289404
1535	127443	289321
1536	127526	289236
1537	127609	289153
1538	127690	289066
1539	127771	288978
1540	127854	288895
1541	127938	288814
1542	128019	288728
1543	128092	288622
1544	128164	288516
1545	128241	288418
1546	128320	288326
1547	128397	288230
1548	128472	288129
1549	128551	288037
1550	128628	287941
1551	128706	287848
1552	128783	287750
1553	128859	287653
1554	128937	287559
1555	129013	287461
1556	129089	287364
1557	129167	287270
1558	129245	287175
1559	129324	287083
1560	129401	286987
1561	129477	286889
1562	129556	286798
1563	129635	286706
1564	129711	286608
1565	129791	286518
1566	129868	286422
1567	129945	286327
1568	130021	286230
1569	130098	286134
1570	130179	286046
1571	130254	285947
1572	130332	285852
1573	130410	285759
1574	130488	285665
1575	130567	285575
1576	130647	285485
1577	130724	285390
1578	130803	285299
1579	130882	285207
1580	130959	285112
1581	131037	285018
1582	131116	284927
1583	131196	284837
1584	131274	284745
1585	131351	284651
1586	131430	284558
1587	131508	284465
1588	131586	284373
1589	131664	284279
1590	131745	284193
1591	131827	284108
1592	131901	284006
1593	131980	283914
1594	132059	283824
1595	132138	283733
1596	132214	283636
1597	132291	283540
1598	132369	283447
1599	132447	283354
1600	132525	283262
1601	132605	283173
1602	132685	283083
1603	132763	282990
1604	132841	282898
1605	132920	282808
1606	132999	282716
1607	133075	282620
1608	133154	282529
1609	133232	282435
1610	133310	282343
1611	133388	282250
1612	133467	282159
1613	133544	282065
1614	133620	281969
1615	133702	281884
1616	133787	281806
1617	133867	281718
1618	133949	281634
1619	134027	281540
1620	134105	281448
1621	134184	281357
1622	134264	281268
1623	134345	281181
1624	134423	281089
1625	134503	281000
1626	134578	280903
1627	134654	280806
1628	134735	280719
1629	134813	280627
1630	134891	280534
1631	134968	280439
1632	135046	280346
1633	135122	280251
1634	135201	280160
1635	135279	280068
1636	135359	279980
1637	135435	279883
1638	135512	279790
1639	135590	279696
1640	135666	279601
1641	135745	279510
1642	135826	279424
1643	135904	279330
1644	135980	279235
1645	136058	279142
1646	136136	279050
1647	136214	278958
1648	136294	278870
1649	136371	278775
1650	136448	278682
1651	136526	278589
1652	136605	278499
1653	136682	278406
1654	136761	278314
1655	136840	278225
1656	136915	278128
1657	136994	278038
1658	137074	277949
